EngagementID,ContentID,ContentType,Likes,Views,Clicks,CampaignID,ProductID,EngagementDate
1,39,BLOG,190,1883,671,1,9,30.08.23
2,48,BLOG,114,5280,532,18,20,28.03.23
3,16,VIDEO,32,1905,204,7,14,08.12.23
4,43,VIDEO,17,2766,257,19,20,21.01.25
5,16,NEWSLETTER,306,5116,1524,6,15,21.02.24
6,32,SOCIALMEDIA,648,8237,1641,18,19,18.06.23
7,33,SOCIALMEDIA,1,750,34,12,2,01.10.25
8,47,BLOG,1,891,35,17,6,31.03.25
9,48,BLOG,123,5571,1527,13,16,19.03.24
10,4,BLOG,25,4279,297,15,15,03.12.23
11,38,SOCIALMEDIA,29,4297,234,19,6,26.05.24
12,29,SOCIALMEDIA,396,7877,2037,3,10,15.06.23
13,14,VIDEO,12,1796,136,12,18,04.02.25
14,2,SOCIALMEDIA,317,6837,2251,16,2,26.08.23
15,16,SOCIALMEDIA,0,36,1,6,19,20.10.25
16,2,SOCIALMEDIA,276,5980,1227,17,16,06.07.23
17,35,BLOG,9,563,104,18,10,17.05.24
18,12,VIDEO,0,321,15,19,8,26.10.24
19,30,NEWSLETTER,118,1442,400,11,9,29.10.23
20,35,BLOG,0,41,7,4,6,07.10.24
21,26,BLOG,7,1037,111,1,6,28.12.24
22,11,VIDEO,357,5543,1288,12,16,04.04.24
23,21,NEWSLETTER,4,522,43,8,18,27.12.24
24,38,NEWSLETTER,65,3651,377,8,16,20.05.24
25,33,NEWSLETTER,0,487,5,6,10,17.11.25
26,31,VIDEO,2,1742,71,20,20,04.06.25
27,42,VIDEO,72,3225,337,4,3,27.07.24
28,29,SOCIALMEDIA,7,165,48,2,16,22.12.23
29,15,VIDEO,0,58,2,17,20,02.08.25
30,29,NEWSLETTER,14,1010,196,20,17,10.09.24
31,1,SOCIALMEDIA,2,1079,44,4,4,10.06.25
32,37,BLOG,0,441,9,19,16,04.11.25
33,44,BLOG,3,1415,76,1,7,21.06.25
34,1,SOCIALMEDIA,29,1223,127,11,4,18.04.23
35,2,VIDEO,1,704,17,13,15,26.07.25
36,29,NEWSLETTER,6,1788,75,9,19,11.06.25
37,32,VIDEO,400,9759,3095,7,1,24.01.23
38,30,NEWSLETTER,449,2674,956,16,15,02.01.23
39,24,VIDEO,373,4881,1204,11,11,02.09.23
40,18,VIDEO,215,3222,793,4,4,02.04.24
41,8,SOCIALMEDIA,193,4654,1083,2,12,01.06.24
42,16,BLOG,840,6771,2617,17,8,23.07.23
43,34,NEWSLETTER,92,3640,370,8,1,12.08.23
44,18,NEWSLETTER,3,1341,66,9,8,10.04.25
45,9,BLOG,4,797,103,15,12,19.10.24
46,5,BLOG,11,2549,228,1,1,29.09.24
47,41,VIDEO,33,1145,130,3,12,08.06.24
48,19,VIDEO,15,1648,163,17,8,26.01.25
49,41,NEWSLETTER,0,171,8,19,3,13.07.25
50,43,SOCIALMEDIA,11,1066,110,15,14,23.06.24
51,44,NEWSLETTER,44,2725,358,6,17,25.02.25
52,41,BLOG,3,1617,70,3,15,22.04.25
53,41,VIDEO,2,599,39,16,15,20.09.24
54,40,BLOG,0,706,34,13,17,22.09.25
55,50,BLOG,18,2387,201,18,6,01.04.25
56,24,SOCIALMEDIA,1,922,39,10,5,19.12.25
57,8,VIDEO,3,944,91,7,20,12.01.25
58,2,VIDEO,0,578,11,17,9,07.11.25
59,37,VIDEO,0,219,7,10,1,17.07.25
60,1,SOCIALMEDIA,0,404,15,19,7,15.10.25
61,47,BLOG,72,2847,528,16,7,24.01.24
62,15,SOCIALMEDIA,2,1521,33,18,10,29.05.25
63,31,NEWSLETTER,6,1473,97,16,16,28.03.25
64,49,VIDEO,0,111,3,1,15,03.12.25
65,3,BLOG,30,524,94,14,12,05.10.23
66,28,VIDEO,23,1493,141,4,5,12.09.24
67,29,NEWSLETTER,176,5147,788,2,19,10.06.24
68,33,VIDEO,5,239,43,3,19,20.10.24
69,50,BLOG,68,2935,303,2,8,11.05.24
70,12,SOCIALMEDIA,10,228,49,12,11,30.04.24
71,37,VIDEO,459,4368,1156,11,14,04.03.23
72,19,BLOG,657,6991,2499,17,1,06.01.23
73,10,SOCIALMEDIA,0,40,4,18,3,06.04.25
74,6,NEWSLETTER,64,4098,761,7,7,22.08.23
75,11,VIDEO,12,565,137,13,18,01.05.24
76,48,BLOG,545,6205,2834,14,3,11.03.23
77,26,SOCIALMEDIA,143,1671,482,20,18,27.08.23
78,44,SOCIALMEDIA,2,713,44,17,2,07.06.25
79,36,VIDEO,397,3632,1500,9,16,26.04.23
80,15,VIDEO,8,1535,243,19,12,04.01.25
81,30,NEWSLETTER,11,581,117,11,2,30.06.24
82,49,SOCIALMEDIA,142,1354,425,8,20,26.04.23
83,48,VIDEO,14,1933,158,9,2,20.02.25
84,24,SOCIALMEDIA,116,6319,832,18,14,22.05.23
85,34,VIDEO,0,36,3,18,20,08.05.25
86,37,BLOG,5,1576,45,3,7,06.04.25
87,8,BLOG,111,3142,602,2,2,27.07.24
88,28,SOCIALMEDIA,121,1360,440,12,7,01.10.23
89,21,SOCIALMEDIA,1,214,15,2,13,27.11.24
90,35,VIDEO,595,3338,1402,7,9,25.05.23
91,8,BLOG,9,379,95,7,13,26.05.24
92,35,VIDEO,3,516,49,3,8,21.05.25
93,23,SOCIALMEDIA,147,2989,1283,1,17,19.02.23
94,33,VIDEO,389,2595,933,15,17,18.02.23
95,35,NEWSLETTER,22,1193,209,1,7,15.08.24
96,17,BLOG,32,712,142,14,13,15.07.24
97,34,BLOG,3,696,47,16,7,01.07.25
98,44,BLOG,0,231,10,11,8,20.08.25
99,26,BLOG,119,3511,479,17,4,15.04.24
100,32,VIDEO,34,2657,175,15,13,05.05.24
101,44,NEWSLETTER,755,7637,3102,2,12,14.04.23
102,11,BLOG,234,7389,927,7,7,01.04.23
103,15,NEWSLETTER,5,949,38,16,16,15.12.24
104,25,SOCIALMEDIA,133,5433,892,11,12,24.09.23
105,10,BLOG,465,4327,1380,16,11,10.08.23
106,13,SOCIALMEDIA,335,7793,951,17,11,23.08.23
107,20,BLOG,0,150,4,6,12,27.01.25
108,48,BLOG,56,2826,264,15,6,26.10.23
109,25,BLOG,81,1998,458,20,4,07.08.24
110,12,SOCIALMEDIA,75,1408,307,3,4,09.06.24
111,34,BLOG,10,1942,99,7,8,18.05.25
112,45,NEWSLETTER,57,2195,578,10,10,09.05.24
113,49,VIDEO,31,898,184,17,14,08.02.23
114,32,SOCIALMEDIA,0,314,12,18,18,30.06.25
115,31,NEWSLETTER,113,3068,1210,18,11,17.05.23
116,35,VIDEO,0,106,7,1,19,15.03.25
117,23,SOCIALMEDIA,0,924,32,12,18,24.09.25
118,39,BLOG,0,191,3,17,7,04.12.25
119,45,BLOG,117,3962,426,11,15,12.07.23
120,33,VIDEO,164,1674,486,1,7,14.09.23
121,5,VIDEO,1071,8641,3301,17,7,09.02.23
122,13,VIDEO,63,5471,615,6,12,17.04.24
123,15,BLOG,0,908,38,7,8,16.12.25
124,39,BLOG,32,2847,274,7,19,16.11.24
125,44,SOCIALMEDIA,29,621,199,12,20,22.08.23
126,34,BLOG,19,2086,218,20,4,27.04.25
127,41,VIDEO,19,989,103,6,6,29.10.23
128,35,NEWSLETTER,109,2235,408,17,5,27.02.24
129,7,BLOG,2,401,30,5,1,17.08.24
130,5,SOCIALMEDIA,120,2081,406,11,1,05.02.24
131,49,NEWSLETTER,45,2977,695,11,16,30.03.24
132,2,SOCIALMEDIA,88,2773,541,19,8,28.07.23
133,44,VIDEO,2,415,34,18,6,18.04.25
134,1,SOCIALMEDIA,0,359,18,11,14,08.09.25
135,21,SOCIALMEDIA,30,2949,352,18,16,20.12.24
136,30,BLOG,524,6423,2478,16,8,05.07.23
137,3,BLOG,46,782,239,9,9,07.11.23
138,19,VIDEO,113,2352,425,15,17,02.01.24
139,48,SOCIALMEDIA,51,1629,404,11,12,20.01.24
140,11,VIDEO,394,7397,1971,6,6,08.03.23
141,47,VIDEO,30,861,264,13,16,24.01.24
142,35,VIDEO,0,261,5,6,1,05.11.25
143,34,BLOG,273,3932,784,8,1,22.10.23
144,27,SOCIALMEDIA,3,689,44,10,12,07.02.25
145,26,NEWSLETTER,14,1662,123,15,11,12.04.25
146,18,NEWSLETTER,0,415,8,20,10,10.09.25
147,13,SOCIALMEDIA,5,1219,74,5,1,19.04.25
148,3,BLOG,97,3003,918,17,16,10.10.23
149,26,SOCIALMEDIA,389,6616,805,7,4,01.02.23
150,45,SOCIALMEDIA,85,4611,373,6,13,25.07.24
151,30,BLOG,299,5131,1303,1,12,30.05.24
152,32,NEWSLETTER,15,1237,214,4,4,05.07.24
153,41,BLOG,0,392,5,6,16,15.12.25
154,1,NEWSLETTER,208,2857,804,16,17,20.08.23
155,3,BLOG,33,4350,269,17,11,03.05.24
156,24,SOCIALMEDIA,26,1657,164,19,4,18.01.24
